,,top,mac,L4,L3,L2,L4_tree,L3_tree,L2_tree,mult_2x2,count,out_reg,pipe_reg,in_reg,accum
8x8,BG_L2_L4_00_L3_00_L2_00_DVAFS_1,319.57978,310.87569,111.41089,111.41089,111.41089,0.0,-0.0,84.58464,26.82625,0.0,67.9387,0.0,4.41439,135.8158
8x8,BG_L2_L4_00_L3_00_L2_11_DVAFS_1,355.55552,348.40233,150.00172,150.00172,150.00172,0.0,-0.0,122.49352,27.50821,0.0,53.92078,0.0,4.41605,147.21697
8x8,BG_L2_L4_00_L3_10_L2_00_DVAFS_1,255.71553,246.39646,159.15554,158.99169,90.69338,0.16385,68.29831,72.90592,17.78746,0.0,19.92276,0.0,7.63239,69.00484
8x8,BG_L2_L4_00_L3_10_L2_11_DVAFS_1,228.5768,219.68337,174.93264,174.93264,147.10685,0.0,27.82579,124.55006,22.55679,0.0,14.17611,0.0,7.76265,31.7054
8x8,BG_L2_L4_00_L3_11_L2_00_DVAFS_1,198.99325,187.09313,166.99849,166.99849,93.96276,0.0,73.03573,72.66628,21.29648,0.0,5.75276,0.0,10.8981,15.3439
8x8,BG_L2_L4_00_L3_11_L2_11_DVAFS_1,170.38727,158.41112,147.44052,147.44052,118.8608,0.0,28.57972,98.45161,20.40918,0.0,3.86264,0.0,11.10775,7.97637
8x8,BG_L2_L4_10_L3_00_L2_00_DVAFS_1,292.00993,282.53745,214.38306,116.64272,116.64272,97.74034,-0.0,93.34238,23.30034,0.0,19.99921,0.0,7.78522,49.84245
8x8,BG_L2_L4_10_L3_00_L2_11_DVAFS_1,298.1689,289.25876,244.39607,154.98762,154.98762,89.40845,0.0,132.26115,22.72647,0.0,14.33236,0.0,7.77933,31.66114
8x8,BG_L2_L4_10_L3_10_L2_00_DVAFS_1,277.47305,255.22353,231.5296,191.69626,107.22393,39.83334,84.47232,88.55921,18.66472,0.0,5.16707,0.0,20.49305,20.28333
8x8,BG_L2_L4_10_L3_10_L2_11_DVAFS_1,237.63233,211.41565,197.79008,162.60625,133.78288,35.18383,28.82337,113.50892,20.27396,0.0,3.93756,0.0,23.72241,12.18227
8x8,BG_L2_L4_10_L3_11_L2_00_DVAFS_1,261.53904,199.50988,192.99012,180.34533,107.48982,12.64479,72.85551,86.35554,21.13428,0.0,1.68886,0.0,55.78597,11.07408
8x8,BG_L2_L4_10_L3_11_L2_11_DVAFS_1,223.98677,174.71337,171.228,160.97958,133.30529,10.24842,27.67429,113.68892,19.61638,0.0,1.07349,0.0,44.05349,7.63179
8x8,BG_L2_L4_11_L3_00_L2_00_DVAFS_1,274.65821,259.97438,240.6894,103.28742,103.28742,137.40198,0.0,82.01049,21.27693,0.0,5.80076,0.0,13.34594,14.82211
8x8,BG_L2_L4_11_L3_00_L2_11_DVAFS_1,222.91,210.88871,199.02123,124.99245,124.99245,74.02878,0.0,104.56829,20.42416,0.0,3.94655,0.0,11.09073,8.85149
8x8,BG_L2_L4_11_L3_10_L2_00_DVAFS_1,201.58805,175.30565,169.80778,138.86327,78.52906,30.94451,60.33421,64.41496,14.1141,0.0,1.42328,0.0,24.49787,5.85912
8x8,BG_L2_L4_11_L3_10_L2_11_DVAFS_1,251.03343,198.06183,194.2104,155.70565,130.11182,38.50476,25.59383,109.73423,20.37759,0.0,1.10918,0.0,47.647,8.06684
8x8,BG_L2_L4_11_L3_11_L2_00_DVAFS_1,374.64656,238.51318,237.00322,223.34008,142.66953,13.66314,80.67055,113.962,28.70753,0.0,0.58422,0.0,124.21352,12.8456
8x8,BG_L2_L4_11_L3_11_L2_11_DVAFS_1,325.67571,205.73326,204.49261,193.64761,158.09792,10.845,35.54968,132.41285,25.68508,0.0,0.25581,0.0,109.20005,11.72724
4x4,BG_L2_L4_00_L3_00_L2_00_DVAFS_1,228.89254,220.18845,56.18484,56.18484,56.18484,0.0,0.0,42.76181,13.42303,0.0,63.8715,0.0,4.41439,104.4218
4x4,BG_L2_L4_00_L3_00_L2_11_DVAFS_1,235.08432,227.9311,81.05817,81.05817,81.05817,-0.0,-0.0,66.82893,14.22924,0.0,43.41353,0.0,4.41605,106.19658
4x4,BG_L2_L4_00_L3_10_L2_00_DVAFS_1,162.06409,152.74501,88.54751,88.38365,48.0912,0.16386,40.29245,39.04673,9.04447,0.0,20.18061,0.0,7.63239,45.70357
4x4,BG_L2_L4_00_L3_10_L2_11_DVAFS_1,127.67046,118.77696,91.94179,91.94179,78.51098,0.0,13.43081,67.13531,11.37567,0.0,11.19738,0.0,7.76265,16.76865
4x4,BG_L2_L4_00_L3_11_L2_00_DVAFS_1,114.58217,102.68205,82.03233,82.03233,47.86888,-0.0,34.16345,37.46913,10.39975,0.0,6.38539,0.0,10.8981,15.26635
4x4,BG_L2_L4_00_L3_11_L2_11_DVAFS_1,94.91269,82.93631,76.01911,76.01911,62.13229,-0.0,13.88682,52.0491,10.08319,0.0,3.15035,0.0,11.10775,4.63548
4x4,BG_L2_L4_10_L3_00_L2_00_DVAFS_1,203.60101,194.12854,129.14608,61.65957,61.65957,67.4865,0.0,49.91009,11.74948,0.0,20.40886,0.0,7.78522,46.26086
4x4,BG_L2_L4_10_L3_00_L2_11_DVAFS_1,191.48423,182.57402,154.55421,86.71708,86.71708,67.83712,-0.0,75.2984,11.41868,0.0,11.33399,0.0,7.77933,17.81671
4x4,BG_L2_L4_10_L3_10_L2_00_DVAFS_1,188.62888,166.37936,140.79635,110.64975,58.04353,30.1466,52.60622,48.4864,9.55713,0.0,6.61657,0.0,20.49305,20.72292
4x4,BG_L2_L4_10_L3_10_L2_11_DVAFS_1,152.55009,126.33274,116.28035,89.00188,72.58008,27.27847,16.4218,62.44905,10.13103,0.0,3.27061,0.0,23.72241,9.27671
4x4,BG_L2_L4_10_L3_11_L2_00_DVAFS_1,174.73222,112.70306,105.63255,89.69422,54.81941,15.93834,34.87481,43.95907,10.86034,0.0,1.87526,0.0,55.78597,11.43844
4x4,BG_L2_L4_10_L3_11_L2_11_DVAFS_1,144.58578,95.30974,93.0696,84.95961,69.29807,8.10999,15.66155,59.80112,9.49695,0.0,0.90817,0.0,44.05349,6.55453
4x4,BG_L2_L4_11_L3_00_L2_00_DVAFS_1,206.04483,191.36099,159.53683,54.84098,54.84098,104.69585,0.0,44.05328,10.7877,0.0,7.21253,0.0,13.34594,25.94953
4x4,BG_L2_L4_11_L3_00_L2_11_DVAFS_1,140.21827,128.19677,120.6033,66.94243,66.94243,53.66087,0.0,56.84781,10.09463,0.0,3.1885,0.0,11.09073,5.33573
4x4,BG_L2_L4_11_L3_10_L2_00_DVAFS_1,130.20439,103.92198,97.09459,74.75422,40.80095,22.34037,33.95327,33.56965,7.2313,0.0,1.89444,0.0,24.49787,6.71749
4x4,BG_L2_L4_11_L3_10_L2_11_DVAFS_1,167.6711,114.69688,112.38845,83.63772,69.61557,28.75073,14.02215,59.38726,10.22831,0.0,0.93045,0.0,47.647,6.7052
4x4,BG_L2_L4_11_L3_11_L2_00_DVAFS_1,286.28525,150.15187,147.92018,123.08091,77.86505,24.83928,45.21585,62.87505,14.99,0.0,0.66884,0.0,124.21352,13.48271
4x4,BG_L2_L4_11_L3_11_L2_11_DVAFS_1,234.26391,114.31542,113.64726,105.46883,84.20104,8.17843,21.26779,71.59541,12.60564,0.0,0.22043,0.0,109.20005,11.19617
2x2,BG_L2_L4_00_L3_00_L2_00_DVAFS_1,180.27774,171.57365,32.27471,32.27471,32.27471,0.0,-0.0,25.19311,7.08161,0.0,59.27985,0.0,4.41439,84.30878
2x2,BG_L2_L4_00_L3_00_L2_11_DVAFS_1,165.37566,158.22235,51.30632,51.30632,51.30632,0.0,0.0,43.6166,7.68972,0.0,36.80156,0.0,4.41605,72.85173
2x2,BG_L2_L4_00_L3_10_L2_00_DVAFS_1,113.63962,104.32055,53.57788,53.41396,29.43246,0.16393,23.98149,24.44987,4.9826,0.0,20.38949,0.0,7.63239,32.03985
2x2,BG_L2_L4_00_L3_10_L2_11_DVAFS_1,82.5582,73.66443,54.05952,54.05952,47.4985,0.0,6.56102,41.1874,6.3111,0.0,9.81929,0.0,7.76265,10.91674
2x2,BG_L2_L4_00_L3_11_L2_00_DVAFS_1,77.16609,65.26597,44.21891,44.21891,27.90873,0.0,16.31018,22.36086,5.54787,0.0,6.05258,0.0,10.8981,15.9965
2x2,BG_L2_L4_00_L3_11_L2_11_DVAFS_1,59.31366,47.33633,42.39547,42.39547,35.49601,-0.0,6.89945,29.70295,5.79307,0.0,2.83626,0.0,11.10775,2.97419
2x2,BG_L2_L4_10_L3_00_L2_00_DVAFS_1,145.40525,135.93277,80.42785,38.09363,38.09363,42.33422,-0.0,31.73979,6.35384,0.0,20.15116,0.0,7.78522,37.04102
2x2,BG_L2_L4_10_L3_00_L2_11_DVAFS_1,120.32744,111.41697,91.0595,53.15183,53.15183,37.90767,0.0,46.83187,6.31996,0.0,9.94051,0.0,7.77933,11.5481
2x2,BG_L2_L4_10_L3_10_L2_00_DVAFS_1,134.04821,111.79869,90.68402,67.37708,35.30783,23.30694,32.06925,29.91139,5.39644,0.0,7.13518,0.0,20.49305,15.73597
2x2,BG_L2_L4_10_L3_10_L2_11_DVAFS_1,100.04967,73.82963,66.03731,50.8253,42.74707,15.21201,8.07823,37.01444,5.73263,0.0,2.84568,0.0,23.72241,7.44427
2x2,BG_L2_L4_10_L3_11_L2_00_DVAFS_1,133.13402,71.10486,63.46274,51.55217,34.53038,11.91058,17.02179,27.85334,6.67704,0.0,1.97664,0.0,55.78597,11.90867
2x2,BG_L2_L4_10_L3_11_L2_11_DVAFS_1,103.61788,54.33129,52.81265,48.04521,40.68284,4.76744,7.36237,35.13043,5.55241,0.0,0.78589,0.0,44.05349,5.96586
2x2,BG_L2_L4_11_L3_00_L2_00_DVAFS_1,154.7733,140.08947,110.01023,33.79068,33.79068,76.21955,0.0,27.79234,5.99834,0.0,6.76017,0.0,13.34594,24.65696
2x2,BG_L2_L4_11_L3_00_L2_11_DVAFS_1,96.56368,84.54138,79.56359,38.82134,38.82134,40.74224,0.0,33.04478,5.77656,0.0,2.82081,0.0,11.09073,3.08854
2x2,BG_L2_L4_11_L3_10_L2_00_DVAFS_1,91.44672,65.16432,58.10577,44.70013,24.88602,13.40564,19.81411,20.85399,4.03203,0.0,2.08075,0.0,24.49787,6.76233
2x2,BG_L2_L4_11_L3_10_L2_11_DVAFS_1,117.84952,64.86485,63.0121,46.65145,40.34646,16.36065,6.30499,34.45114,5.89532,0.0,0.84738,0.0,47.647,6.34304
