,top,mac,mult,mult_2x2,count,out_reg,in_reg,others,seq,comb
BG_L3_L4_11_L3_10_L2_10_DVAFS_0,216821,170052,167844,20676,0,694,46769,148682,47463,169358
BG_L3_L4_11_L3_10_L2_11_DVAFS_0,249476,169624,168964,31397,0,197,79852,138030,80049,169427
BG_L3_L4_11_L3_11_L2_10_DVAFS_0,239375,177843,176860,21090,0,291,61532,156462,61823,177552
BG_L3_L4_11_L3_11_L2_11_DVAFS_0,331050,198265,197937,32599,0,108,132785,165558,132893,198157
LOOM,191093,188334,111367,16380,58,34810,2759,137144,37569,153524
BG_BS_L4_00_L3_10_L2_11_DVAFS_0,142930,136015,122546,16380,58,24901,6915,94734,31816,111114
BG_BS_L4_00_L3_11_L2_11_DVAFS_0,139352,128321,124932,16380,58,22128,11031,89813,33159,106193
BG_BS_L4_10_L3_00_L2_11_DVAFS_0,174706,167809,154384,16380,58,24874,6897,126555,31771,142935
BG_BS_L4_10_L3_10_L2_11_DVAFS_0,162271,138846,135110,16380,58,22152,23425,100314,45577,116694
BG_BS_L4_10_L3_11_L2_11_DVAFS_0,159226,131627,130712,16380,58,21693,27599,93554,49292,109934
BG_BS_L4_11_L3_00_L2_11_DVAFS_0,169079,158047,154748,16380,58,22213,11032,119454,33245,135834
BG_BS_L4_11_L3_10_L2_11_DVAFS_0,170611,143012,142091,16380,58,21670,27599,104962,49269,121342
BG_BS_L4_11_L3_11_L2_11_DVAFS_0,184144,140033,139678,16380,58,22509,44111,101144,66620,117524
