,,top,mac,L4,L3,L2,L4_tree,L3_tree,L2_tree,mult_2x2,count,out_reg,pipe_reg,in_reg,accum
8x8,BG_L2_L4_00_L3_00_L2_00_DVAFS_0,117.6636,112.54009,41.07086,41.07086,41.07086,0.0,-0.0,35.69904,5.37183,0.0,38.75052,0.0,1.81122,36.03099
8x8,BG_L2_L4_00_L3_00_L2_10_DVAFS_0,115.31643,111.92225,57.6825,57.6825,57.6825,0.0,0.0,50.65406,7.02844,0.0,16.40861,0.0,2.28454,38.94077
8x8,BG_L2_L4_00_L3_00_L2_11_DVAFS_0,91.49989,88.17075,44.60408,44.60408,44.60408,-0.0,0.0,38.53941,6.06467,0.0,10.89185,0.0,2.68157,33.32239
8x8,BG_L2_L4_00_L3_10_L2_00_DVAFS_0,94.43599,90.83625,63.93539,63.93539,47.16592,-0.0,16.76948,41.1332,6.03272,0.0,12.19442,0.0,2.49007,15.81612
8x8,BG_L2_L4_00_L3_10_L2_10_DVAFS_0,106.1461,100.57433,83.2528,83.2528,61.28027,0.0,21.97253,53.79867,7.4816,0.0,4.68749,0.0,4.99774,13.20808
8x8,BG_L2_L4_00_L3_10_L2_11_DVAFS_0,67.78473,61.91847,52.42188,52.42188,45.97254,0.0,6.44934,39.64987,6.32267,0.0,2.92422,0.0,5.39016,7.04846
8x8,BG_L2_L4_00_L3_11_L2_00_DVAFS_0,63.10727,59.54033,49.48126,49.48126,32.73038,0.0,16.75088,28.42427,4.30612,0.0,3.54195,0.0,3.1671,6.91696
8x8,BG_L2_L4_00_L3_11_L2_10_DVAFS_0,72.43645,66.34542,61.11905,61.11905,45.3518,0.0,15.76724,39.4792,5.8726,0.0,1.34388,0.0,5.67063,4.3029
8x8,BITFUSION,59.24835,50.57583,47.74673,47.74673,40.89908,-0.0,6.84765,35.07376,5.82532,0.0,0.82356,0.0,8.0992,2.57886
8x8,BG_L2_L4_10_L3_00_L2_00_DVAFS_0,106.01831,102.41859,75.43249,48.28615,48.28615,27.14633,-0.0,42.34409,5.94206,0.0,12.19141,0.0,2.49003,15.90439
8x8,BG_L2_L4_10_L3_00_L2_10_DVAFS_0,139.80793,134.56122,106.54794,73.12258,73.12258,33.42536,0.0,64.53438,8.5882,0.0,11.46242,0.0,4.63354,17.16403
8x8,BG_L2_L4_10_L3_00_L2_11_DVAFS_0,73.70785,67.87078,58.21224,44.49578,44.49578,13.71646,-0.0,38.33638,6.1594,0.0,2.93804,0.0,5.36095,7.19662
8x8,BG_L2_L4_10_L3_10_L2_00_DVAFS_0,96.20659,90.45756,79.377,67.01756,49.31178,12.35944,17.70578,43.18297,6.12881,0.0,3.60684,0.0,5.1985,8.02426
8x8,BG_L2_L4_10_L3_10_L2_10_DVAFS_0,117.02967,100.92421,94.90298,84.95083,62.34142,9.95214,22.60942,54.80606,7.53535,0.0,1.38956,0.0,14.93607,5.80106
8x8,BG_L2_L4_10_L3_10_L2_11_DVAFS_0,80.09865,63.59909,60.32534,54.16595,47.49121,6.15939,6.67475,40.99562,6.49559,0.0,0.86215,0.0,15.32695,3.58421
8x8,BG_L2_L4_10_L3_11_L2_00_DVAFS_0,89.43526,83.40113,77.84448,69.80415,41.79838,8.04034,28.00577,36.46099,5.33739,0.0,2.48526,0.0,5.56517,3.54034
8x8,BG_L2_L4_10_L3_11_L2_10_DVAFS_0,82.23286,64.97439,63.32518,60.98748,44.30956,2.3377,16.67792,38.50686,5.8027,0.0,0.39007,0.0,16.09863,2.41899
8x8,BG_L2_L4_10_L3_11_L2_11_DVAFS_0,70.24546,50.86494,49.9091,47.95437,41.10808,1.95473,6.84629,35.29098,5.81709,0.0,0.23884,0.0,18.03582,2.0617
