,,top,mac,L4,L3,L2,L4_tree,L3_tree,L2_tree,mult_2x2,count,out_reg,pipe_reg,in_reg,accum
4x4,BG_L2_L4_11_L3_00_L2_11_DVAFS_1,26.80578,24.28041,22.67167,13.73609,13.73609,8.93558,-0.0,11.80297,1.93312,0.0,0.64534,0.0,2.35158,1.1372
4x4,BG_L2_L4_11_L3_10_L2_00_DVAFS_1,27.22584,21.90685,19.82867,15.34584,8.42396,4.48282,6.92189,6.93489,1.48907,0.0,1.02901,0.0,4.95462,1.41355
4x4,BG_L2_L4_11_L3_10_L2_11_DVAFS_1,24.20454,18.79915,18.24556,16.07376,13.63828,2.1718,2.43549,11.6568,1.98148,0.0,0.18704,0.0,5.0594,0.71254
4x4,BG_L2_L4_11_L3_11_L2_00_DVAFS_1,32.54247,24.23048,23.62789,18.57395,9.99994,5.05394,8.574,7.99146,2.00848,0.0,0.11482,0.0,7.77031,1.02945
4x4,BG_L2_L4_11_L3_11_L2_11_DVAFS_1,25.78568,17.47616,17.34904,16.42404,13.47209,0.925,2.95194,11.59755,1.87455,0.0,0.05366,0.0,7.77031,0.61268
2x2,BG_L2_L4_00_L3_00_L2_00_DVAFS_1,37.47199,35.62115,6.92242,6.92242,6.92242,0.0,0.0,5.69908,1.22334,0.0,12.05998,0.0,0.99594,17.49365
2x2,BG_L2_L4_00_L3_00_L2_11_DVAFS_1,34.15369,32.61024,9.24546,9.24546,9.24546,0.0,0.0,8.08223,1.16323,0.0,7.5726,0.0,0.99594,16.33969
2x2,BG_L2_L4_00_L3_10_L2_00_DVAFS_1,28.7332,26.81553,11.52231,11.48038,6.33889,0.04193,5.1415,5.29013,1.04876,0.0,8.57377,0.0,1.53272,7.1044
2x2,BG_L2_L4_00_L3_10_L2_11_DVAFS_1,17.77267,15.87271,11.76823,11.76823,10.31003,0.0,1.4582,8.94637,1.36365,0.0,2.00328,0.0,1.67367,2.32749
2x2,BG_L2_L4_00_L3_11_L2_00_DVAFS_1,22.66181,20.21877,11.95008,11.95008,6.26709,0.0,5.68299,5.08983,1.17726,0.0,3.95207,0.0,2.22665,4.53301
2x2,BG_L2_L4_00_L3_11_L2_11_DVAFS_1,13.04177,10.51663,9.27982,9.27982,7.77137,-0.0,1.50845,6.67439,1.09698,0.0,0.57005,0.0,2.35119,0.84071
2x2,BG_L2_L4_10_L3_00_L2_00_DVAFS_1,26.66301,24.6515,13.26761,8.01138,8.01138,5.25623,0.0,6.58711,1.42427,0.0,4.07288,0.0,1.67397,7.64856
2x2,BG_L2_L4_10_L3_00_L2_11_DVAFS_1,19.34613,17.44585,13.31439,10.64626,10.64626,2.66813,-0.0,9.29007,1.3562,0.0,2.01273,0.0,1.67397,2.34503
2x2,BG_L2_L4_10_L3_10_L2_00_DVAFS_1,29.59545,25.08162,18.67803,14.00846,7.45138,4.66957,6.55708,6.32923,1.12215,0.0,3.28887,0.0,4.14516,3.48339
2x2,BG_L2_L4_10_L3_10_L2_11_DVAFS_1,19.99077,15.28521,13.92555,12.76343,11.11496,1.16213,1.64847,9.63394,1.48102,0.0,0.5785,0.0,4.38174,1.10498
2x2,BG_L2_L4_10_L3_11_L2_00_DVAFS_1,23.78664,18.71709,15.96426,12.74124,6.8345,3.22302,5.90674,5.46897,1.36553,0.0,1.18528,0.0,4.70603,1.93107
2x2,BG_L2_L4_10_L3_11_L2_11_DVAFS_1,15.91231,10.50621,10.11467,9.51591,7.95803,0.59877,1.55788,6.78842,1.16961,0.0,0.16288,0.0,5.05929,0.57547
2x2,BG_L2_L4_11_L3_00_L2_00_DVAFS_1,44.7677,42.34382,32.27603,6.72086,6.72086,25.55517,0.0,5.55325,1.16762,0.0,4.17051,0.0,2.21026,6.1109
2x2,BG_L2_L4_11_L3_00_L2_11_DVAFS_1,17.03238,14.50684,12.58058,7.98548,7.98548,4.5951,0.0,6.86785,1.11762,0.0,0.64564,0.0,2.35158,1.45458
2x2,BG_L2_L4_11_L3_10_L2_00_DVAFS_1,19.61865,14.29965,12.19508,9.48916,5.38152,2.70592,4.10764,4.53189,0.84963,0.0,1.07584,0.0,4.95462,1.39311
2x2,BG_L2_L4_11_L3_10_L2_11_DVAFS_1,16.26097,10.85476,10.43328,9.21149,7.97975,1.22179,1.23173,6.80834,1.17141,0.0,0.16587,0.0,5.0594,0.60243
2x2,BG_L2_L4_11_L3_11_L2_00_DVAFS_1,24.23725,15.92527,15.50102,11.66427,6.41094,3.83675,5.25333,5.26547,1.14547,0.0,0.13412,0.0,7.77031,0.8318
2x2,BG_L2_L4_11_L3_11_L2_11_DVAFS_1,18.29983,9.99179,9.91593,9.40252,7.89581,0.51341,1.50671,6.77396,1.12184,0.0,0.04016,0.0,7.77031,0.57343
